"Series Description","Balances required; reserve balance requirements; discontinued after Sept 9, 2020; not seasonally adjusted","Balances required; top of penalty-free band; not seasonally adjusted (June 27, 2013 - Sept 9, 2020)","Balances required; bottom of penalty-free band; not seasonally adjusted (June 27, 2013 - Sept 9, 2020)","Total reserve balances maintained; discontinued after Sept 9, 2020; not seasonally adjusted;","Balances maintained; balances maintained to satisfy reserve balance requirements; not seasonally adjusted (June 27, 2013 - Sept 9, 2020)","Balances maintained; balances maintained that exceed the top of the penalty-free band; not seasonally adjusted (June 27, 2013 - Sept 9, 2020)","Reserves of depository institutions, total; discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Reserves of depository institutions, required; discontinued after Sept 9, 2020; not seasonally adjusted","Vault cash, total; discontinued after Sept 9, 2020; not seasonally adjusted","Vault cash, used to satisfy required reserves; discontinued after Sept 9, 2020; not seasonally adjusted","Vault cash, surplus; discontinued after Sept 9, 2020; not seasonally adjusted","Monetary base; total; discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Monetary base; total balances maintained; discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Monetary base; currency in circulation;  discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Total borrowings from the Federal Reserve;  discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted","Borrowings from the Federal Reserve, primary (Jan 9, 2003 - Sept 9, 2020); not seasonally adjusted","Borrowings from the Federal Reserve, secondary (Jan 9, 2003 - Sept 9, 2020); not seasonally adjusted","Borrowings from the Federal Reserve, seasonal (Apr 25, 1973 - Sept 9, 2020); not seasonally adjusted","Borrowings from the Federal Reserve, Term Asset-Backed Securities Loan Facility (Mar 18, 2009 - Oct 29, 2014); not seasonally adjusted","Borrowings from the Federal Reserve, other credit extensions, contains credit extensions involving JP Morgan Chase & Co. and Bear Stearns Co. Inc. in March 2008, and facilities other than the primary, secondary, and seasonal programs from Mar 18, 2020 - Sept 9, 2020; not seasonally adjusted","Reserves of depository institutions, nonborrowed; discontinued after Sept 9, 2020 on H.3, published on H.6 for dates thereafter; not seasonally adjusted"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier:","H3/H3/RESBA14A_N.M","H3/H3/RESBAT14A_N.M","H3/H3/RESBAB14A_N.M","H3/H3/RESRB@CB14A_N.M","H3/H3/RESBMS14A_N.M","H3/H3/RESBME14A_N.M","H3/H3/RESTR14A_N.M","H3/H3/RESRQ14A_N.M","H3/H3/RESVCL_N.M","H3/H3/RESAV14A_N.M","H3/H3/RESMBSAL_N.M","H3/H3/RESMO14A_N.M","H3/H3/RESMOB14A_N.M","H3/H3/RESMOC14A_N.M","H3/H3/RESBR14A_N.M","H3/H3/RESBRP14A_N.M","H3/H3/RESBRQ14A_N.M","H3/H3/RESBRS14A_N.M","H3/H3/RESBRB14A_N.M","H3/H3/RESBRO14A_N.M","H3/H3/RESNB14A_N.M"
"Time Period","RESBA14A_N.M","RESBAT14A_N.M","RESBAB14A_N.M","RESRB@CB14A_N.M","RESBMS14A_N.M","RESBME14A_N.M","RESTR14A_N.M","RESRQ14A_N.M","RESVCL_N.M","RESAV14A_N.M","RESMBSAL_N.M","RESMO14A_N.M","RESMOB14A_N.M","RESMOC14A_N.M","RESBR14A_N.M","RESBRP14A_N.M","RESBRQ14A_N.M","RESBRS14A_N.M","RESBRB14A_N.M","RESBRO14A_N.M","RESNB14A_N.M"
2019-08,134639,148114,121167,1520876,147555,1373321,1586844,200608,78451,65969,12483,3271378,1520876,1750502,117,16,0,101,0,0,1586727
2019-09,134707,148188,121227,1439771,147498,1292273,1504805,199741,76550,65035,11516,3202668,1439771,1762898,101,15,0,86,0,0,1504704
2019-10,134998,148509,121489,1481513,148050,1333462,1547136,200621,76660,65623,11037,3252807,1481513,1771294,63,4,0,59,0,0,1547073
2019-11,140705,154787,126625,1529341,154256,1375085,1595222,206586,76921,65881,11040,3315551,1529341,1786209,26,4,0,22,0,0,1595196
2019-12,138984,152893,125076,1630090,152562,1477528,1698344,207239,80168,68255,11914,3426464,1630090,1796375,21,10,0,11,0,0,1698323
2020-01,144816,159309,130326,1645384,158765,1486619,1715219,214652,81216,69835,11381,3442569,1645384,1797185,6,5,0,1,0,0,1715213
2020-02,138370,152218,124524,1656989,151612,1505377,1726943,208324,80735,69954,10781,3454474,1656989,1797485,3,3,0,0,0,0,1726939
2020-03,113139,124461,101817,2045148,124147,1921000,2099369,167360,77114,54222,22892,3883155,2045148,1838007,40554,19538,0,0,0,21015,2058816
2020-04,0,0,0,2953586,0,2953586,2953586,0,88104,0,88104,4844940,2953586,1891355,124461,38299,0,0,0,86162,2829125
2020-05,0,0,0,3217635,0,3217635,3217635,0,101345,0,101345,5149527,3217635,1931891,111845,22180,0,2,0,89663,3105791
2020-06,0,0,0,3043556,0,3043556,3043556,0,104201,0,104201,5001978,3043556,1958422,97671,8456,0,11,55,89204,2945885
2020-07,0,0,0,2718529,0,2718529,2718529,0,98392,0,98392,4700365,2718529,1981836,92943,4670,0,26,668,88248,2625585
2020-08,0,0,0,2799719,0,2799719,2799719,0,95327,0,95327,4807394,2799719,2007675,83126,2851,0,38,2071,80237,2716593